year	China	Germany	India	Japan	U.K.	U.S.
1970	6.4307	0.7517	1.3163	0.4855	0.6473	0.9958
1971	6.8279	0.7370	1.3639	0.4811	0.6330	0.9702
1972	6.9902	0.7097	1.4522	0.4748	0.5959	0.9658
1973	6.7355	0.7062	1.4526	0.4716	0.5693	0.9553
1974	6.7164	0.6852	1.4844	0.4775	0.5465	0.9257
1975	7.1644	0.6522	1.4779	0.4401	0.5426	0.8887
1976	7.6024	0.6764	1.5188	0.4421	0.5225	0.8829
1977	7.7395	0.6316	1.6956	0.4358	0.5142	0.8676
1978	7.7318	0.6288	1.6186	0.4001	0.4941	0.8474
1979	7.3482	0.6255	1.7790	0.4010	0.5079	0.8232
1980	6.6878	0.6070	1.7523	0.3867	0.4664	0.7950
1981	6.2867	0.5756	1.7686	0.3642	0.4554	0.7438
1982	6.2759	0.5599	1.8115	0.3412	0.4363	0.7196
1983	5.9724	0.5491	1.8297	0.3250	0.4166	0.6933
1984	5.6454	0.5455	1.8252	0.3309	0.3952	0.6665
1985	5.3911	0.5386	1.8984	0.3030	0.4036	0.6417
1986	5.2109	0.5284	1.9409	0.2947	0.3975	0.6206
1987	4.9876	0.5137	1.9783	0.2801	0.3787	0.6257
1988	4.8062	0.4938	1.9431	0.2854	0.3566	0.6266
1989	4.6946	0.4680	1.9936	0.2809	0.3547	0.6121
1990	4.6190	0.4431	1.9654	0.2840	0.3463	0.5784
1991	4.4435	0.3868	2.0911	0.2763	0.3588	0.5859
1992	4.0573	0.3640	2.1067	0.2798	0.3534	0.5770
1993	3.8015	0.3616	2.0857	0.2756	0.3327	0.5738
1994	3.5714	0.3481	2.0616	0.2894	0.3179	0.5616
1995	3.4955	0.3417	2.0616	0.2863	0.3103	0.5505
1996	3.3142	0.3490	2.0663	0.2841	0.3107	0.5437
1997	3.0379	0.3322	2.0601	0.2787	0.2893	0.5335
1998	2.6993	0.3232	1.9958	0.2743	0.2794	0.5142
1999	2.5035	0.3047	1.9890	0.2841	0.2660	0.4980
2000	2.3694	0.2986	1.9825	0.2829	0.2602	0.4941
2001	2.2408	0.3020	1.9115	0.2778	0.2567	0.4798
2002	2.1756	0.2932	1.8772	0.2804	0.2421	0.4755
2003	2.4224	0.2969	1.8101	0.2804	0.2359	0.4650
2004	2.5712	0.2908	1.7582	0.2789	0.2301	0.4567
2005	2.5294	0.2821	1.6836	0.2706	0.2245	0.4446
2006	2.4869	0.2727	1.6426	0.2646	0.2179	0.4265
2007	2.3058	0.2560	1.6024	0.2631	0.2073	0.4257
2008	2.1786	0.2531	1.7337	0.2565	0.2055	0.4143
2009	2.1810	0.2507	1.7491	0.2476	0.1953	0.4002
2010	2.1281	0.2452	1.6034	0.2516	0.1990	0.3992
2011	2.1376	0.2284	1.5715	0.2536	0.1813	0.3837
2012	2.0971	0.2346	1.6457	0.2673	0.1877	0.3607
2013	2.0234	0.2399	1.6432	0.2614	0.1792	0.3621